mmsi,imo
562887328,9306811
563010200,9808364
563021936,9422811
563029224,9250725
563030368,9613159
563036652,9327011
563048104,9379040
563066544,9382530
563069200,9800324
563085100,9800738
563169150,9427275
563171640,9659309
563174549,9732321
563236504,9555503
563442046,9725110
564710711,9741267
564786000,9019327
564947944,9582439
565232997,9178276
565404000,9722223
565471320,9708825
565503856,9382592
565621484,9445502
565767011,9724582
565996184,9731808
566599000,9502726
566835000,9672973
567066900,9133707
567237304,9739551
567534002,9072460
569862728,1147506
569898688,9176412
572745210,9124055
574002690,9600190
574927000,9480502
624018000,9617454
636016322,9221334
636016471,9279874
636016671,9287170
636017652,9483243
636018177,9774056
636018312,9382372
636091784,9391787
636092092,9452634
636092123,9509700
658369088,9727340
659508652,9820441
826797444,9111979
7793824,9382554
209539000,9437256
209615000,9247766
210558000,9558696
235058391,9331000
237677000,9198094
240821000,9406685
243248592,9603659
247305900,9476460
250709200,9554286
257572000,9428970
258003000,9310848
304746000,9291975
305538000,9445887
305997000,9506148
306805800,9672404
311000749,9778856
311000921,9356309
311622000,9210139
312269000,9129627
319155900,9756224
352322000,9071595
352967000,9401908
353042405,9724594
353101152,9758026
357502000,9509114
372031000,9565558
372956000,9379959
373293000,9606962
373424000,9203332
374877000,9758868
375037000,9514365
376947676,4734051
403581000,9306809
413209750,9837652
440077000,9279616
477001800,9608910
477280800,9267077
477375464,9434450
477742700,9471240
477814100,9571272
477831100,9420605
477899300,9451331
503000129,9838644
512326600,9721401
525005000,9241798
525005338,9432086
525019652,9489144
525100558,9821158
525100645,9100396
527216323,9374325
533057496,9382580
533130716,9154141
533607176,9332030
537858676,9812664
538001893,9252943
538002977,9464168
538004139,9597771
538004345,9594585
538005965,9400409
538006053,9707388
538006593,9278650
538006906,9749910
538007117,9279599
538007208,9349320
538007231,9631125
538007477,9346304
538007899,9670418
538007952,9828948
538013045,9520857
542218104,9723241
562278443,9724702
562658578,9399478
562949545,9248710
563040056,7616262
563059100,9837286
563060500,9700146
563068500,9796975
563159000,9418054
563173643,9421594
563496000,9079119
563503000,8624668
564034021,9612088
564102784,9626209
564218000,9402964
564369008,9512123
565097000,9518153
565228000,9380611
565254524,8819976
565343000,9341445
565464000,9336000
565647000,9182021
565760972,8414726
566163000,9735256
566930032,9519509
566957000,9597549
567214576,9673109
567268604,9843522
568131304,9379040
574534000,9266372
576392000,9412220
576517000,9533579
636015455,9539248
636015739,9493224
636016052,9808467
636016829,9492397
636018640,9829411
636018658,9290842
636019137,9125231
764347556,9784271
766069592,9189184
965798112,9553646
967298178,2105397
5631066,9348699
212273000,9455856
212930000,9705122
215123408,9566356
218705000,9376505
235102465,9698305
240048000,9228095
241339000,9590709
241572000,9785237
241653000,9461776
244010871,9443669
244948456,9403279
248251000,9602409
256345000,9497579
